"site","lat","lon","geometry"
"tract_06075047701",37.7782559048227,-122.484062662118,c(-122.484062662118, 37.7782559048227)
"tract_06075030900",37.728269760454,-122.468364521274,c(-122.468364521274, 37.728269760454)
"tract_06075031100",37.7296128886288,-122.446224593209,c(-122.446224593209, 37.7296128886288)
"tract_06075031000",37.7286247647834,-122.457161466933,c(-122.457161466933, 37.7286247647834)
"tract_06075032700",37.7601690530381,-122.491169606445,c(-122.491169606445, 37.7601690530381)
"tract_06075033100",37.7322046089978,-122.487188684738,c(-122.487188684738, 37.7322046089978)
"tract_06075033201",37.7263800997394,-122.479814687905,c(-122.479814687905, 37.7263800997394)
"tract_06075035201",37.7554450255621,-122.509745341051,c(-122.509745341051, 37.7554450255621)
"tract_06075035300",37.7425281865623,-122.497858855044,c(-122.497858855044, 37.7425281865623)
"tract_06075035400",37.7422258564383,-122.507366357246,c(-122.507366357246, 37.7422258564383)
"tract_06075040100",37.7851587272421,-122.461814988481,c(-122.461814988481, 37.7851587272421)
"tract_06075040200",37.7843302615957,-122.468386929294,c(-122.468386929294, 37.7843302615957)
"tract_06075042700",37.7822707054454,-122.488176052272,c(-122.488176052272, 37.7822707054454)
"tract_06075042800",37.7882802264319,-122.488907551079,c(-122.488907551079, 37.7882802264319)
"tract_06075047600",37.7767733153133,-122.475543954532,c(-122.475543954532, 37.7767733153133)
"tract_06075017700",37.7680439972968,-122.412491830224,c(-122.412491830224, 37.7680439972968)
"tract_06075060100",37.8105804370047,-122.482665594925,c(-122.482665594925, 37.8105804370047)
"tract_06075047902",37.7792384388744,-122.50410084936,c(-122.50410084936, 37.7792384388744)
"tract_06075020300",37.7649354468214,-122.429436574351,c(-122.429436574351, 37.7649354468214)
"tract_06075020900",37.7518211116638,-122.418413396899,c(-122.418413396899, 37.7518211116638)
"tract_06075021000",37.7515887967901,-122.422844458802,c(-122.422844458802, 37.7515887967901)
"tract_06075021100",37.7539708542371,-122.429815459158,c(-122.429815459158, 37.7539708542371)
"tract_06075021200",37.7531761792347,-122.43812614756,c(-122.43812614756, 37.7531761792347)
"tract_06075021300",37.7492624083188,-122.438474618526,c(-122.438474618526, 37.7492624083188)
"tract_06075021400",37.7495711600871,-122.429393917405,c(-122.429393917405, 37.7495711600871)
"tract_06075021500",37.7449639546708,-122.426905570507,c(-122.426905570507, 37.7449639546708)
"tract_06075021600",37.7454960055609,-122.438139906551,c(-122.438139906551, 37.7454960055609)
"tract_06075021700",37.7402532563709,-122.439277065294,c(-122.439277065294, 37.7402532563709)
"tract_06075021800",37.7379202863798,-122.429134826494,c(-122.429134826494, 37.7379202863798)
"tract_06075022600",37.759957614828,-122.385571304363,c(-122.385571304363, 37.759957614828)
"tract_06075022802",37.758913068164,-122.406233667404,c(-122.406233667404, 37.758913068164)
"tract_06075022902",37.7513439892216,-122.410378657458,c(-122.410378657458, 37.7513439892216)
"tract_06075022903",37.7517619215372,-122.406218177901,c(-122.406218177901, 37.7517619215372)
"tract_06075023001",37.7351925104668,-122.401761651641,c(-122.401761651641, 37.7351925104668)
"tract_06075023003",37.7326748662468,-122.39583491122,c(-122.39583491122, 37.7326748662468)
"tract_06075020602",37.7578121495089,-122.43068253423,c(-122.43068253423, 37.7578121495089)
"tract_06075016900",37.7671003280349,-122.432466991079,c(-122.432466991079, 37.7671003280349)
"tract_06075017000",37.7648872984475,-122.439497429522,c(-122.439497429522, 37.7648872984475)
"tract_06075026100",37.7196238213314,-122.443159990985,c(-122.443159990985, 37.7196238213314)
"tract_06075060400",37.7198455777219,-122.49615395907,c(-122.49615395907, 37.7198455777219)
"tract_06075026301",37.7138686698992,-122.439536173548,c(-122.439536173548, 37.7138686698992)
"tract_06075026302",37.7116465211659,-122.430829671033,c(-122.430829671033, 37.7116465211659)
"tract_06075020401",37.7595115288869,-122.443483089947,c(-122.443483089947, 37.7595115288869)
"tract_06075026303",37.7096619925519,-122.443454479294,c(-122.443454479294, 37.7096619925519)
"tract_06075026401",37.7135250783747,-122.411283363069,c(-122.411283363069, 37.7135250783747)
