Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
1999-2000,Female,5-Feb,All,Saturated Fat,19.3,1,17.3,21.3,,,,
1999-2000,Female,11-Jun,All,Saturated Fat,25.6,1,23.6,27.6,,,,
1999-2000,Female,19-Dec,All,Saturated Fat,24,0.8,22.5,25.5,,,,
1999-2000,Female,20 and over,All,Saturated Fat,22.6,0.5,21.7,23.6,,,,
1999-2000,Female,20-29,All,Saturated Fat,25.3,1,23.4,27.2,,,,
1999-2000,Female,30-39,All,Saturated Fat,23.8,0.7,22.4,25.3,,,,
1999-2000,Female,40-49,All,Saturated Fat,23.5,1,21.5,25.6,,,,
1999-2000,Female,50-59,All,Saturated Fat,22,1.5,19,25,,,,
1999-2000,Female,60-69,All,Saturated Fat,20.8,1.3,18.2,23.3,,,,
1999-2000,Female,70 and over,All,Saturated Fat,16.9,0.8,15.4,18.4,,,,
1999-2000,Male,19-Feb,All,Saturated Fat,33.6,1.2,31.3,35.9,,,,
1999-2000,Male,5-Feb,All,Saturated Fat,22.6,1,20.5,24.6,,,,
1999-2000,Male,11-Jun,All,Saturated Fat,27.7,1.7,24.2,31.1,,,,
1999-2000,Male,19-Dec,All,Saturated Fat,33.6,1.2,31.3,35.9,,,,
1999-2000,Male,20 and over,All,Saturated Fat,31.9,0.4,31,32.7,,,,
1999-2000,Male,20-29,All,Saturated Fat,34.4,1,32.4,36.5,,,,
1999-2000,Male,30-39,All,Saturated Fat,34.9,1.1,32.7,37.1,,,,
1999-2000,Male,40-49,All,Saturated Fat,33.9,1.4,31.2,36.7,,,,
1999-2000,Male,50-59,All,Saturated Fat,30.3,1.5,27.4,33.3,,,,
1999-2000,Male,60-69,All,Saturated Fat,26.4,1.3,23.9,29,,,,
1999-2000,Male,70 and over,All,Saturated Fat,23.2,0.6,21.9,24.5,,,,
1999-2000,All,19-Feb,All,Sodium,"3,492.70",78.3,"3,337.90","3,647.40",,,,
1999-2000,All,19-Feb,Non-Hispanic White,Sodium,"3,509.90",106.5,"3,299.50","3,720.40",,,,
1999-2000,All,19-Feb,Non-Hispanic Black,Sodium,"3,546.80",115.5,"3,318.60","3,774.90",,,,
1999-2000,All,19-Feb,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,19-Feb,Mexican American,Sodium,"2,976.20",78.5,"2,821.10","3,131.30",,,,
1999-2000,All,5-Feb,All,Sodium,"2,459.40",71.4,"2,318.40","2,600.40",,,,
1999-2000,All,11-Jun,All,Sodium,"3,233.00",130.2,"2,975.70","3,490.20",,,,
1999-2000,All,19-Dec,All,Sodium,"3,492.70",78.3,"3,337.90","3,647.40",,,,
1999-2000,All,20 and over,All,Sodium,"3,459.50",62.5,"3,336.00","3,582.90",,,,
1999-2000,All,20 and over,Non-Hispanic White,Sodium,"3,538.80",72.6,"3,395.30","3,682.30",,,,
1999-2000,All,20 and over,Non-Hispanic Black,Sodium,"3,245.00",96.9,"3,053.70","3,436.40",,,,
1999-2000,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
1999-2000,All,20 and over,Mexican American,Sodium,"3,127.70",83.6,"2,962.60","3,292.90",,,,
1999-2000,All,20-29,All,Sodium,"3,762.50",70.3,"3,623.70","3,901.30",,,,
1999-2000,All,30-39,All,Sodium,"3,641.30",137.8,"3,369.10","3,913.40",,,,
1999-2000,All,40-49,All,Sodium,"3,536.60",90.7,"3,357.50","3,715.70",,,,
1999-2000,All,50-59,All,Sodium,"3,450.00",121.9,"3,209.20","3,690.70",,,,
1999-2000,All,60-69,All,Sodium,"3,114.40",70.2,"2,975.80","3,252.90",,,,
1999-2000,All,70 and over,All,Sodium,"2,733.80",67.3,"2,600.80","2,866.80",,,,
1999-2000,Female,19-Feb,All,Sodium,"2,926.00",64.5,"2,798.60","3,053.30",,,,
1999-2000,Female,5-Feb,All,Sodium,"2,300.20",96.9,"2,108.70","2,491.70",,,,
1999-2000,Female,11-Jun,All,Sodium,"2,969.00",57.4,"2,855.60","3,082.40",,,,
1999-2000,Female,19-Dec,All,Sodium,"2,926.00",64.5,"2,798.60","3,053.30",,,,
1999-2000,Female,20 and over,All,Sodium,"2,915.90",58.8,"2,799.60","3,032.10",,,,
1999-2000,Female,20-29,All,Sodium,"3,144.10",107.5,"2,931.80","3,356.50",,,,
1999-2000,Female,30-39,All,Sodium,"3,046.70",97.9,"2,853.40","3,240.00",,,,
1999-2000,Female,40-49,All,Sodium,"3,056.20",114.7,"2,829.60","3,282.80",,,,
1999-2000,Female,50-59,All,Sodium,"2,838.40",115.5,"2,610.20","3,066.60",,,,
1999-2000,Female,60-69,All,Sodium,"2,664.40",65.7,"2,534.70","2,794.10",,,,
1999-2000,Female,70 and over,All,Sodium,"2,392.90",73.4,"2,248.00","2,537.90",,,,
1999-2000,Male,19-Feb,All,Sodium,"4,036.00",180.5,"3,679.40","4,392.50",,,,
1999-2000,Male,5-Feb,All,Sodium,"2,622.60",110.1,"2,405.20","2,840.10",,,,
1999-2000,Male,11-Jun,All,Sodium,"3,469.40",230.5,"3,014.00","3,924.90",,,,
1999-2000,Male,19-Dec,All,Sodium,"4,036.00",180.5,"3,679.40","4,392.50",,,,
1999-2000,Male,20 and over,All,Sodium,"4,053.10",74.8,"3,905.20","4,200.90",,,,
1999-2000,Male,20-29,All,Sodium,"4,395.00",115.6,"4,166.60","4,623.50",,,,
1999-2000,Male,30-39,All,Sodium,"4,268.10",178,"3,916.40","4,619.80",,,,
1999-2000,Male,40-49,All,Sodium,"4,076.90",116,"3,847.80","4,306.10",,,,
1999-2000,Male,50-59,All,Sodium,"4,050.40",172.8,"3,709.00","4,391.80",,,,
1999-2000,Male,60-69,All,Sodium,"3,623.30",158.7,"3,309.90","3,936.80",,,,
1999-2000,Male,70 and over,All,Sodium,"3,213.40",93.4,"3,029.00","3,397.90",,,,
1999-2000,All,19-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,19-Feb,Non-Hispanic White,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,19-Feb,Non-Hispanic Black,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,19-Feb,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
1999-2000,All,19-Feb,Hispanic,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data for vitamin D intake are only available from 2007-2008 onward.,*,†
1999-2000,All,19-Feb,Mexican American,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,5-Feb,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,11-Jun,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,19-Dec,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
